R	RNG	RG	CS1	CS2	CST	A-9	A-8	A-7	A-6	A-5	A-4	A-3	A-2	A-1	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9
2.215	0.305	6.000	21.000	27.000	48.000	0.010	0.040	0.040	0.040	0.100	0.020	0.070	0.070	0.100	0.010	0.050	0.090	0.130	0.070	0.030	0.040	0.060	0.020	0.010
1.177	0.259	9.000	28.000	26.000	54.000	0.000	0.010	0.040	0.050	0.040	0.070	0.100	0.090	0.100	0.010	0.080	0.090	0.080	0.090	0.090	0.030	0.010	0.020	0.000
3.736	0.284	5.000	20.000	33.000	53.000	0.000	0.030	0.030	0.040	0.070	0.090	0.060	0.110	0.090	0.000	0.050	0.080	0.110	0.080	0.030	0.070	0.020	0.040	0.000
2.332	0.265	7.000	21.000	18.000	39.000	0.010	0.010	0.050	0.040	0.090	0.100	0.060	0.040	0.040	0.000	0.110	0.100	0.120	0.060	0.070	0.060	0.030	0.010	0.000
0.345	0.243	7.000	29.000	19.000	48.000	0.010	0.010	0.010	0.040	0.060	0.080	0.100	0.070	0.150	0.010	0.060	0.090	0.100	0.070	0.040	0.050	0.030	0.020	0.000
2.177	0.314	6.000	26.000	17.000	43.000	0.000	0.010	0.040	0.100	0.030	0.050	0.130	0.090	0.070	0.000	0.110	0.040	0.050	0.050	0.120	0.040	0.030	0.000	0.040
1.843	0.235	6.000	15.000	33.000	48.000	0.010	0.040	0.040	0.040	0.050	0.050	0.080	0.100	0.050	0.040	0.070	0.130	0.100	0.040	0.030	0.040	0.050	0.020	0.020
0.937	0.244	8.000	24.000	12.000	36.000	0.000	0.020	0.040	0.060	0.110	0.060	0.080	0.060	0.070	0.000	0.100	0.060	0.070	0.080	0.040	0.070	0.030	0.010	0.040
1.383	0.257	6.000	29.000	34.000	63.000	0.000	0.020	0.010	0.040	0.080	0.050	0.080	0.090	0.110	0.010	0.120	0.130	0.080	0.050	0.050	0.030	0.050	0.000	0.000
3.951	0.305	6.000	33.000	28.000	61.000	0.000	0.020	0.020	0.010	0.080	0.030	0.110	0.120	0.150	0.000	0.100	0.060	0.090	0.090	0.040	0.040	0.010	0.030	0.000
1.673	0.269	6.000	19.000	33.000	52.000	0.000	0.010	0.060	0.060	0.040	0.070	0.080	0.130	0.060	0.010	0.080	0.060	0.070	0.060	0.090	0.060	0.050	0.000	0.010
0.985	0.286	7.000	20.000	29.000	49.000	0.000	0.020	0.020	0.050	0.100	0.080	0.030	0.120	0.090	0.000	0.070	0.100	0.050	0.080	0.070	0.090	0.030	0.000	0.000
1.377	0.270	7.000	23.000	14.000	37.000	0.030	0.000	0.070	0.030	0.040	0.070	0.100	0.080	0.110	0.010	0.060	0.040	0.070	0.050	0.130	0.030	0.030	0.050	0.000
2.919	0.285	6.000	19.000	21.000	40.000	0.020	0.000	0.020	0.030	0.070	0.060	0.120	0.110	0.070	0.000	0.080	0.060	0.150	0.070	0.070	0.050	0.010	0.000	0.010
0.828	0.309	6.000	16.000	15.000	31.000	0.020	0.020	0.050	0.020	0.030	0.120	0.120	0.050	0.020	0.000	0.100	0.080	0.090	0.110	0.130	0.010	0.010	0.010	0.010
3.141	0.272	6.000	14.000	28.000	42.000	0.010	0.020	0.020	0.060	0.070	0.080	0.070	0.070	0.120	0.020	0.020	0.090	0.080	0.080	0.090	0.050	0.030	0.010	0.010
1.582	0.258	6.000	24.000	30.000	54.000	0.010	0.030	0.050	0.030	0.030	0.080	0.080	0.090	0.040	0.000	0.130	0.130	0.100	0.040	0.090	0.010	0.050	0.010	0.000
2.379	0.286	7.000	23.000	35.000	58.000	0.000	0.010	0.020	0.050	0.050	0.070	0.140	0.100	0.080	0.000	0.090	0.100	0.040	0.070	0.070	0.080	0.010	0.020	0.000
1.447	0.255	7.000	15.000	19.000	34.000	0.000	0.020	0.010	0.070	0.090	0.060	0.110	0.100	0.070	0.000	0.060	0.070	0.070	0.080	0.050	0.050	0.060	0.030	0.000
0.805	0.235	7.000	18.000	23.000	41.000	0.000	0.010	0.030	0.040	0.090	0.080	0.080	0.120	0.080	0.010	0.060	0.050	0.070	0.100	0.070	0.060	0.030	0.010	0.010
0.977	0.260	6.000	20.000	25.000	45.000	0.000	0.010	0.030	0.080	0.050	0.090	0.050	0.130	0.100	0.000	0.040	0.060	0.110	0.070	0.060	0.050	0.040	0.030	0.000
0.990	0.198	8.000	37.000	20.000	57.000	0.010	0.030	0.010	0.050	0.020	0.040	0.110	0.110	0.120	0.030	0.110	0.090	0.070	0.050	0.050	0.050	0.020	0.030	0.000
1.212	0.268	8.000	26.000	14.000	40.000	0.020	0.020	0.000	0.090	0.080	0.030	0.080	0.070	0.130	0.030	0.090	0.050	0.070	0.040	0.060	0.030	0.040	0.040	0.030
3.717	0.306	7.000	28.000	14.000	42.000	0.010	0.010	0.030	0.020	0.070	0.060	0.130	0.050	0.120	0.020	0.110	0.070	0.070	0.110	0.030	0.030	0.030	0.010	0.020
1.044	0.237	6.000	31.000	35.000	66.000	0.000	0.020	0.010	0.020	0.060	0.090	0.100	0.080	0.130	0.030	0.090	0.110	0.070	0.040	0.080	0.030	0.010	0.000	0.030
1.577	0.260	7.000	17.000	33.000	50.000	0.010	0.020	0.050	0.030	0.050	0.080	0.080	0.110	0.070	0.030	0.040	0.090	0.100	0.070	0.060	0.020	0.060	0.030	0.000
1.500	0.274	7.000	36.000	19.000	55.000	0.010	0.050	0.020	0.020	0.070	0.030	0.100	0.080	0.080	0.010	0.160	0.070	0.050	0.090	0.060	0.060	0.030	0.010	0.000
2.815	0.316	5.000	15.000	34.000	49.000	0.010	0.010	0.010	0.020	0.080	0.150	0.060	0.130	0.020	0.010	0.120	0.070	0.060	0.070	0.090	0.010	0.050	0.030	0.000
1.951	0.255	7.000	29.000	30.000	59.000	0.030	0.000	0.040	0.050	0.080	0.070	0.020	0.090	0.100	0.020	0.090	0.070	0.110	0.050	0.060	0.050	0.050	0.020	0.000
2.929	0.272	7.000	31.000	49.000	80.000	0.000	0.030	0.010	0.070	0.020	0.060	0.090	0.110	0.150	0.010	0.040	0.110	0.070	0.090	0.030	0.050	0.050	0.010	0.000
1.757	0.276	6.000	32.000	22.000	54.000	0.000	0.020	0.040	0.110	0.020	0.050	0.080	0.080	0.080	0.000	0.120	0.080	0.080	0.090	0.040	0.040	0.020	0.030	0.020
2.088	0.298	6.000	27.000	22.000	49.000	0.010	0.030	0.050	0.020	0.060	0.100	0.060	0.050	0.070	0.010	0.120	0.140	0.050	0.080	0.080	0.010	0.000	0.020	0.040
1.950	0.250	7.000	26.000	34.000	60.000	0.000	0.010	0.040	0.040	0.020	0.060	0.110	0.140	0.090	0.020	0.090	0.080	0.090	0.100	0.020	0.050	0.010	0.020	0.010
1.660	0.257	7.000	28.000	16.000	44.000	0.030	0.000	0.040	0.030	0.060	0.080	0.090	0.090	0.100	0.020	0.060	0.070	0.070	0.070	0.060	0.060	0.030	0.020	0.020
1.292	0.239	7.000	32.000	24.000	56.000	0.020	0.030	0.020	0.070	0.030	0.040	0.070	0.090	0.090	0.030	0.110	0.070	0.100	0.070	0.070	0.060	0.010	0.020	0.000
1.192	0.217	7.000	17.000	28.000	45.000	0.010	0.020	0.020	0.060	0.060	0.060	0.050	0.080	0.130	0.010	0.050	0.100	0.140	0.100	0.040	0.040	0.020	0.010	0.000
3.028	0.283	8.000	30.000	32.000	62.000	0.010	0.010	0.040	0.080	0.040	0.030	0.100	0.110	0.050	0.000	0.150	0.090	0.060	0.090	0.020	0.030	0.060	0.020	0.010
1.380	0.239	7.000	12.000	24.000	36.000	0.010	0.020	0.030	0.040	0.100	0.100	0.080	0.050	0.060	0.010	0.060	0.090	0.070	0.070	0.100	0.040	0.040	0.020	0.010
1.199	0.288	7.000	13.000	16.000	29.000	0.010	0.040	0.040	0.010	0.080	0.090	0.080	0.070	0.070	0.000	0.050	0.070	0.150	0.090	0.040	0.050	0.020	0.040	0.000
1.264	0.280	8.000	18.000	19.000	37.000	0.000	0.030	0.060	0.020	0.100	0.060	0.060	0.080	0.070	0.000	0.050	0.100	0.100	0.110	0.080	0.040	0.020	0.020	0.000
2.308	0.263	6.000	27.000	34.000	61.000	0.010	0.010	0.020	0.050	0.070	0.100	0.050	0.120	0.090	0.000	0.060	0.110	0.080	0.060	0.050	0.040	0.060	0.010	0.010
