R	RNG	RG	CS1	CS2	CST	A-9	A-8	A-7	A-6	A-5	A-4	A-3	A-2	A-1	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9
10.335	0.464	6.000	6.000	13.000	19.000	0.030	0.110	0.060	0.060	0.030	0.020	0.070	0.030	0.040	0.000	0.020	0.080	0.150	0.090	0.040	0.050	0.020	0.060	0.040
0.952	0.284	8.000	25.000	23.000	48.000	0.020	0.030	0.020	0.050	0.020	0.030	0.080	0.120	0.170	0.010	0.080	0.110	0.050	0.060	0.050	0.020	0.010	0.030	0.040
1.773	0.337	9.000	32.000	24.000	56.000	0.050	0.010	0.010	0.020	0.030	0.080	0.050	0.110	0.130	0.010	0.170	0.110	0.060	0.000	0.000	0.060	0.060	0.020	0.020
1.307	0.336	8.000	27.000	22.000	49.000	0.030	0.030	0.000	0.070	0.030	0.040	0.050	0.110	0.170	0.000	0.100	0.100	0.040	0.040	0.090	0.020	0.040	0.010	0.030
1.840	0.349	8.000	26.000	20.000	46.000	0.060	0.060	0.030	0.030	0.010	0.010	0.060	0.090	0.100	0.000	0.140	0.110	0.120	0.010	0.010	0.050	0.030	0.080	0.000
0.989	0.319	9.000	31.000	28.000	59.000	0.020	0.030	0.010	0.000	0.050	0.050	0.070	0.150	0.160	0.000	0.130	0.110	0.030	0.020	0.040	0.070	0.020	0.030	0.010
1.311	0.283	8.000	30.000	32.000	62.000	0.020	0.010	0.010	0.020	0.040	0.060	0.100	0.120	0.140	0.000	0.140	0.170	0.020	0.050	0.000	0.000	0.020	0.030	0.050
1.175	0.300	8.000	26.000	22.000	48.000	0.020	0.060	0.010	0.020	0.010	0.070	0.080	0.080	0.130	0.010	0.130	0.140	0.080	0.030	0.030	0.030	0.000	0.020	0.050
1.640	0.317	8.000	28.000	19.000	47.000	0.050	0.030	0.020	0.020	0.040	0.010	0.100	0.090	0.080	0.000	0.180	0.100	0.110	0.050	0.010	0.030	0.050	0.010	0.020
0.834	0.292	8.000	27.000	27.000	54.000	0.050	0.010	0.050	0.000	0.020	0.010	0.070	0.140	0.170	0.000	0.100	0.120	0.060	0.060	0.050	0.020	0.020	0.040	0.010
1.227	0.349	8.000	24.000	29.000	53.000	0.020	0.050	0.000	0.010	0.060	0.050	0.050	0.130	0.120	0.000	0.120	0.120	0.120	0.040	0.030	0.010	0.010	0.030	0.030
1.821	0.308	8.000	28.000	28.000	56.000	0.000	0.050	0.030	0.030	0.030	0.020	0.100	0.120	0.130	0.000	0.130	0.120	0.090	0.010	0.010	0.030	0.050	0.020	0.030
1.757	0.353	8.000	28.000	20.000	48.000	0.020	0.040	0.070	0.030	0.000	0.040	0.050	0.100	0.130	0.000	0.150	0.100	0.090	0.020	0.060	0.010	0.030	0.000	0.060
0.257	0.284	8.000	30.000	23.000	53.000	0.040	0.020	0.020	0.040	0.020	0.020	0.050	0.110	0.160	0.000	0.120	0.120	0.100	0.070	0.050	0.020	0.020	0.020	0.000
1.057	0.323	8.000	38.000	26.000	64.000	0.020	0.050	0.010	0.020	0.010	0.040	0.060	0.140	0.160	0.000	0.170	0.100	0.060	0.040	0.020	0.000	0.020	0.070	0.010
1.635	0.317	8.000	30.000	23.000	53.000	0.040	0.040	0.020	0.030	0.040	0.010	0.080	0.100	0.140	0.010	0.140	0.110	0.040	0.030	0.020	0.040	0.040	0.030	0.040
1.878	0.333	8.000	24.000	30.000	54.000	0.020	0.050	0.010	0.010	0.030	0.070	0.070	0.110	0.130	0.000	0.110	0.130	0.070	0.070	0.040	0.000	0.020	0.040	0.020
1.169	0.343	9.000	28.000	25.000	53.000	0.010	0.080	0.010	0.030	0.020	0.030	0.050	0.100	0.130	0.010	0.150	0.130	0.060	0.050	0.060	0.020	0.030	0.010	0.020
2.011	0.357	8.000	29.000	26.000	55.000	0.030	0.060	0.000	0.010	0.030	0.050	0.040	0.100	0.170	0.010	0.120	0.140	0.080	0.040	0.030	0.020	0.020	0.010	0.040
0.464	0.276	8.000	27.000	22.000	49.000	0.030	0.030	0.010	0.000	0.010	0.050	0.110	0.140	0.200	0.000	0.080	0.080	0.060	0.060	0.030	0.030	0.020	0.030	0.030
1.370	0.302	8.000	31.000	22.000	53.000	0.010	0.010	0.030	0.040	0.040	0.060	0.080	0.100	0.180	0.010	0.110	0.100	0.040	0.050	0.020	0.010	0.030	0.040	0.040
0.656	0.289	8.000	32.000	24.000	56.000	0.010	0.030	0.020	0.010	0.020	0.040	0.070	0.150	0.180	0.010	0.120	0.100	0.110	0.020	0.040	0.000	0.020	0.040	0.010
1.232	0.331	8.000	29.000	22.000	51.000	0.010	0.020	0.020	0.030	0.030	0.030	0.120	0.140	0.130	0.000	0.160	0.080	0.060	0.040	0.040	0.000	0.020	0.020	0.050
1.524	0.324	8.000	28.000	23.000	51.000	0.010	0.050	0.020	0.060	0.020	0.040	0.040	0.110	0.140	0.010	0.120	0.120	0.100	0.040	0.010	0.020	0.020	0.030	0.040
0.325	0.322	8.000	26.000	27.000	53.000	0.010	0.030	0.040	0.020	0.030	0.040	0.060	0.110	0.150	0.010	0.110	0.160	0.100	0.010	0.020	0.030	0.030	0.030	0.010
1.135	0.333	8.000	35.000	29.000	64.000	0.020	0.020	0.020	0.010	0.010	0.070	0.070	0.110	0.120	0.040	0.170	0.140	0.060	0.050	0.020	0.020	0.040	0.000	0.010
1.107	0.292	7.000	33.000	20.000	53.000	0.020	0.050	0.030	0.020	0.030	0.020	0.060	0.110	0.190	0.000	0.120	0.100	0.060	0.040	0.010	0.040	0.050	0.020	0.030
2.132	0.370	8.000	36.000	22.000	58.000	0.040	0.030	0.010	0.020	0.030	0.070	0.050	0.080	0.150	0.000	0.180	0.140	0.060	0.000	0.010	0.050	0.010	0.010	0.060
2.127	0.336	8.000	27.000	27.000	54.000	0.060	0.020	0.010	0.020	0.010	0.040	0.030	0.160	0.100	0.010	0.150	0.110	0.120	0.060	0.040	0.010	0.030	0.010	0.010
1.906	0.358	8.000	25.000	29.000	54.000	0.050	0.050	0.030	0.020	0.010	0.040	0.030	0.120	0.100	0.000	0.150	0.140	0.090	0.030	0.010	0.020	0.060	0.040	0.010
1.175	0.308	8.000	24.000	25.000	49.000	0.030	0.030	0.030	0.040	0.010	0.020	0.100	0.100	0.120	0.010	0.120	0.130	0.070	0.040	0.070	0.010	0.030	0.020	0.020
2.017	0.292	8.000	31.000	24.000	55.000	0.040	0.040	0.010	0.000	0.000	0.070	0.090	0.100	0.140	0.010	0.150	0.140	0.030	0.020	0.040	0.030	0.070	0.010	0.010
2.645	0.308	7.000	29.000	34.000	63.000	0.050	0.040	0.010	0.010	0.020	0.020	0.050	0.120	0.140	0.000	0.150	0.170	0.060	0.050	0.030	0.020	0.020	0.030	0.010
0.858	0.350	7.000	27.000	28.000	55.000	0.060	0.020	0.000	0.000	0.040	0.020	0.050	0.150	0.180	0.000	0.090	0.130	0.100	0.050	0.030	0.020	0.010	0.030	0.020
0.702	0.263	8.000	29.000	19.000	48.000	0.040	0.040	0.020	0.010	0.030	0.060	0.060	0.070	0.150	0.000	0.140	0.120	0.090	0.020	0.040	0.040	0.020	0.020	0.030
1.600	0.365	7.000	25.000	27.000	52.000	0.050	0.020	0.030	0.040	0.040	0.040	0.010	0.090	0.080	0.010	0.170	0.170	0.130	0.040	0.000	0.010	0.010	0.020	0.040
4.973	0.447	6.000	15.000	15.000	30.000	0.060	0.040	0.040	0.030	0.030	0.120	0.050	0.060	0.090	0.000	0.060	0.050	0.060	0.050	0.070	0.050	0.000	0.140	0.000
1.422	0.355	8.000	26.000	35.000	61.000	0.000	0.010	0.050	0.040	0.030	0.060	0.060	0.150	0.150	0.010	0.110	0.140	0.030	0.020	0.010	0.010	0.000	0.060	0.060
2.640	0.326	7.000	23.000	22.000	45.000	0.030	0.040	0.040	0.040	0.040	0.000	0.050	0.130	0.130	0.000	0.100	0.100	0.090	0.050	0.050	0.030	0.020	0.030	0.030
1.289	0.351	7.000	26.000	28.000	54.000	0.050	0.020	0.010	0.010	0.030	0.080	0.040	0.120	0.080	0.010	0.180	0.140	0.070	0.010	0.070	0.020	0.020	0.030	0.010
1.621	0.306	8.000	34.000	25.000	59.000	0.030	0.030	0.030	0.000	0.030	0.070	0.030	0.090	0.110	0.000	0.190	0.150	0.100	0.070	0.030	0.010	0.000	0.020	0.010
1.260	0.351	8.000	23.000	20.000	43.000	0.000	0.010	0.040	0.010	0.080	0.040	0.110	0.100	0.160	0.000	0.080	0.100	0.120	0.030	0.030	0.010	0.000	0.020	0.060
0.350	0.294	8.000	27.000	23.000	50.000	0.020	0.010	0.020	0.000	0.030	0.070	0.100	0.120	0.200	0.000	0.080	0.110	0.100	0.020	0.000	0.040	0.020	0.030	0.030
1.938	0.380	7.000	28.000	18.000	46.000	0.060	0.040	0.010	0.010	0.010	0.070	0.060	0.070	0.110	0.000	0.170	0.120	0.100	0.040	0.030	0.030	0.030	0.020	0.020
0.626	0.324	8.000	27.000	26.000	53.000	0.060	0.000	0.010	0.030	0.020	0.030	0.070	0.150	0.170	0.010	0.100	0.090	0.060	0.040	0.050	0.040	0.020	0.010	0.040
1.053	0.343	8.000	27.000	29.000	56.000	0.050	0.020	0.030	0.010	0.000	0.020	0.080	0.160	0.110	0.000	0.160	0.120	0.060	0.050	0.040	0.030	0.030	0.010	0.020
0.709	0.290	8.000	33.000	33.000	66.000	0.050	0.010	0.040	0.010	0.030	0.030	0.010	0.130	0.120	0.010	0.170	0.140	0.090	0.070	0.050	0.010	0.010	0.010	0.010
1.650	0.303	8.000	31.000	28.000	59.000	0.030	0.030	0.000	0.020	0.040	0.020	0.100	0.100	0.130	0.000	0.160	0.140	0.100	0.050	0.000	0.020	0.030	0.000	0.030
0.484	0.344	8.000	32.000	21.000	53.000	0.060	0.030	0.010	0.020	0.030	0.020	0.030	0.080	0.170	0.000	0.130	0.130	0.140	0.060	0.040	0.000	0.030	0.020	0.000
0.899	0.363	8.000	29.000	25.000	54.000	0.060	0.010	0.020	0.020	0.030	0.030	0.050	0.070	0.100	0.000	0.170	0.180	0.160	0.040	0.020	0.030	0.000	0.000	0.010
0.768	0.318	7.000	25.000	24.000	49.000	0.050	0.030	0.030	0.000	0.020	0.070	0.070	0.050	0.080	0.000	0.170	0.170	0.110	0.040	0.030	0.050	0.020	0.010	0.000
0.615	0.305	7.000	26.000	30.000	56.000	0.030	0.040	0.040	0.010	0.020	0.030	0.050	0.130	0.140	0.000	0.120	0.130	0.080	0.070	0.010	0.020	0.030	0.030	0.020
1.562	0.315	8.000	27.000	25.000	52.000	0.040	0.010	0.040	0.040	0.020	0.030	0.040	0.110	0.130	0.000	0.150	0.140	0.100	0.060	0.020	0.010	0.000	0.020	0.040
1.013	0.366	8.000	25.000	22.000	47.000	0.030	0.020	0.030	0.010	0.090	0.050	0.060	0.060	0.110	0.000	0.140	0.150	0.090	0.010	0.060	0.000	0.020	0.060	0.010
3.391	0.444	7.000	26.000	16.000	42.000	0.080	0.050	0.000	0.000	0.030	0.030	0.050	0.060	0.100	0.000	0.160	0.100	0.190	0.050	0.020	0.050	0.010	0.020	0.000
3.559	0.347	8.000	27.000	28.000	55.000	0.060	0.040	0.020	0.030	0.000	0.020	0.080	0.090	0.090	0.000	0.180	0.150	0.080	0.040	0.020	0.020	0.010	0.030	0.040
1.658	0.271	8.000	29.000	25.000	54.000	0.020	0.040	0.040	0.030	0.020	0.040	0.050	0.090	0.150	0.000	0.140	0.140	0.070	0.040	0.030	0.010	0.040	0.030	0.020
2.092	0.354	9.000	28.000	20.000	48.000	0.030	0.010	0.040	0.090	0.020	0.020	0.030	0.120	0.150	0.000	0.120	0.080	0.110	0.020	0.050	0.000	0.020	0.060	0.030
1.844	0.411	7.000	31.000	24.000	55.000	0.010	0.050	0.080	0.010	0.030	0.010	0.030	0.060	0.120	0.000	0.170	0.160	0.120	0.070	0.030	0.030	0.000	0.010	0.010
0.952	0.361	8.000	21.000	26.000	47.000	0.040	0.040	0.010	0.000	0.040	0.040	0.090	0.090	0.090	0.000	0.130	0.130	0.120	0.090	0.040	0.030	0.000	0.020	0.000
2.651	0.341	7.000	30.000	32.000	62.000	0.050	0.040	0.030	0.010	0.010	0.020	0.050	0.130	0.130	0.000	0.150	0.130	0.050	0.050	0.060	0.050	0.000	0.010	0.030
2.117	0.322	7.000	26.000	27.000	53.000	0.040	0.040	0.010	0.010	0.030	0.040	0.110	0.070	0.100	0.000	0.160	0.180	0.060	0.020	0.030	0.030	0.010	0.030	0.030
1.884	0.361	7.000	20.000	24.000	44.000	0.040	0.020	0.040	0.020	0.040	0.030	0.100	0.080	0.080	0.000	0.120	0.140	0.140	0.040	0.030	0.010	0.010	0.020	0.040
1.604	0.383	8.000	28.000	27.000	55.000	0.030	0.020	0.030	0.050	0.040	0.030	0.040	0.100	0.130	0.000	0.130	0.140	0.060	0.120	0.010	0.000	0.010	0.020	0.040
1.761	0.323	8.000	30.000	30.000	60.000	0.010	0.020	0.040	0.060	0.010	0.020	0.090	0.100	0.130	0.000	0.160	0.140	0.070	0.020	0.040	0.020	0.020	0.020	0.030
2.355	0.387	8.000	29.000	24.000	53.000	0.020	0.020	0.010	0.070	0.020	0.030	0.090	0.110	0.120	0.000	0.150	0.130	0.080	0.010	0.050	0.020	0.010	0.010	0.050
1.850	0.334	8.000	26.000	25.000	51.000	0.050	0.010	0.010	0.040	0.050	0.040	0.050	0.100	0.130	0.000	0.130	0.150	0.070	0.030	0.060	0.000	0.010	0.030	0.040
1.428	0.337	7.000	23.000	29.000	52.000	0.070	0.010	0.040	0.000	0.040	0.040	0.070	0.060	0.070	0.000	0.160	0.190	0.120	0.010	0.040	0.020	0.020	0.010	0.030
1.331	0.278	8.000	22.000	33.000	55.000	0.060	0.020	0.020	0.020	0.030	0.010	0.090	0.090	0.080	0.010	0.140	0.180	0.100	0.030	0.050	0.010	0.040	0.010	0.010
0.970	0.338	8.000	34.000	29.000	63.000	0.040	0.000	0.030	0.010	0.010	0.050	0.050	0.130	0.160	0.000	0.160	0.150	0.090	0.020	0.020	0.040	0.020	0.020	0.000
1.578	0.295	8.000	29.000	24.000	53.000	0.030	0.040	0.040	0.020	0.030	0.020	0.030	0.130	0.150	0.000	0.120	0.090	0.100	0.070	0.050	0.040	0.000	0.010	0.030
1.671	0.368	7.000	29.000	23.000	52.000	0.070	0.020	0.020	0.010	0.050	0.010	0.040	0.090	0.130	0.000	0.140	0.120	0.130	0.070	0.050	0.010	0.000	0.010	0.030
3.362	0.421	8.000	15.000	50.000	65.000	0.020	0.000	0.040	0.020	0.030	0.050	0.170	0.140	0.060	0.000	0.070	0.100	0.110	0.060	0.010	0.030	0.020	0.060	0.010
1.321	0.346	8.000	43.000	33.000	76.000	0.050	0.030	0.020	0.020	0.030	0.030	0.020	0.070	0.130	0.010	0.210	0.180	0.050	0.070	0.030	0.000	0.020	0.010	0.020
1.227	0.328	7.000	27.000	38.000	65.000	0.030	0.040	0.000	0.020	0.020	0.040	0.070	0.150	0.110	0.000	0.140	0.150	0.070	0.030	0.050	0.020	0.040	0.010	0.010
5.468	0.384	7.000	26.000	17.000	43.000	0.030	0.040	0.040	0.030	0.040	0.090	0.070	0.050	0.080	0.000	0.170	0.120	0.030	0.000	0.030	0.050	0.050	0.020	0.060
0.768	0.316	9.000	29.000	28.000	57.000	0.060	0.030	0.010	0.050	0.030	0.010	0.040	0.110	0.120	0.000	0.150	0.150	0.070	0.010	0.040	0.030	0.020	0.050	0.020
1.507	0.319	8.000	30.000	33.000	63.000	0.030	0.070	0.000	0.020	0.010	0.040	0.060	0.100	0.100	0.000	0.180	0.160	0.080	0.030	0.060	0.010	0.010	0.010	0.030
0.853	0.305	7.000	23.000	45.000	68.000	0.030	0.010	0.010	0.050	0.030	0.050	0.080	0.100	0.080	0.000	0.150	0.230	0.070	0.020	0.000	0.020	0.010	0.040	0.020
1.162	0.342	7.000	29.000	26.000	55.000	0.050	0.020	0.000	0.010	0.010	0.060	0.090	0.120	0.120	0.000	0.150	0.120	0.090	0.060	0.020	0.030	0.000	0.040	0.010
2.138	0.383	8.000	28.000	22.000	50.000	0.050	0.010	0.050	0.000	0.030	0.030	0.080	0.110	0.140	0.000	0.140	0.110	0.070	0.010	0.070	0.020	0.020	0.010	0.050
1.442	0.313	8.000	27.000	33.000	60.000	0.020	0.020	0.030	0.020	0.080	0.050	0.020	0.100	0.110	0.000	0.160	0.180	0.060	0.050	0.020	0.020	0.000	0.020	0.040
1.213	0.378	8.000	32.000	36.000	68.000	0.080	0.010	0.000	0.020	0.030	0.020	0.050	0.090	0.080	0.010	0.200	0.170	0.110	0.040	0.050	0.010	0.020	0.010	0.000
1.461	0.387	7.000	25.000	45.000	70.000	0.060	0.020	0.030	0.020	0.020	0.010	0.040	0.160	0.080	0.000	0.150	0.170	0.070	0.040	0.070	0.010	0.000	0.030	0.020
0.722	0.284	7.000	36.000	32.000	68.000	0.030	0.030	0.020	0.030	0.030	0.020	0.040	0.100	0.130	0.000	0.190	0.160	0.070	0.070	0.030	0.020	0.010	0.010	0.010
0.970	0.343	8.000	28.000	32.000	60.000	0.060	0.020	0.020	0.030	0.030	0.050	0.030	0.070	0.070	0.000	0.210	0.190	0.080	0.030	0.030	0.020	0.040	0.010	0.010
1.242	0.296	8.000	28.000	29.000	57.000	0.050	0.030	0.030	0.010	0.030	0.030	0.040	0.130	0.110	0.000	0.150	0.140	0.090	0.020	0.020	0.070	0.010	0.010	0.030
1.986	0.410	8.000	28.000	26.000	54.000	0.060	0.020	0.000	0.030	0.020	0.050	0.090	0.090	0.070	0.000	0.190	0.150	0.040	0.040	0.050	0.050	0.030	0.010	0.010
0.513	0.276	8.000	27.000	27.000	54.000	0.040	0.020	0.010	0.050	0.040	0.080	0.030	0.070	0.110	0.000	0.160	0.160	0.050	0.040	0.010	0.050	0.040	0.030	0.010
1.899	0.322	8.000	24.000	28.000	52.000	0.060	0.030	0.020	0.020	0.070	0.030	0.010	0.100	0.090	0.000	0.150	0.160	0.090	0.040	0.010	0.020	0.050	0.040	0.010
0.724	0.410	8.000	30.000	34.000	64.000	0.050	0.010	0.010	0.000	0.010	0.080	0.030	0.110	0.140	0.010	0.160	0.190	0.070	0.060	0.040	0.010	0.000	0.010	0.010
1.044	0.325	7.000	36.000	22.000	58.000	0.060	0.040	0.020	0.010	0.030	0.040	0.050	0.060	0.120	0.000	0.200	0.140	0.060	0.030	0.030	0.010	0.040	0.050	0.010
2.622	0.371	8.000	26.000	26.000	52.000	0.060	0.040	0.000	0.040	0.000	0.060	0.000	0.120	0.100	0.000	0.170	0.120	0.140	0.030	0.050	0.030	0.020	0.020	0.000
1.432	0.329	7.000	35.000	32.000	67.000	0.020	0.050	0.010	0.020	0.040	0.000	0.080	0.140	0.130	0.000	0.160	0.120	0.040	0.060	0.060	0.010	0.010	0.020	0.030
